City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tomohon,1.3346,1.3346,24.52,77,39,0.66,ID,1701733566
1,aasiaat,68.7098,68.7098,-13.42,90,95,2.68,GL,1701733568
2,taulaga,-11.0553,-11.0553,28.55,76,86,6.46,AS,1701733571
3,guerrero negro,27.9769,27.9769,21.55,40,42,3.86,MX,1701733574
4,port saint john's,-31.6229,-31.6229,18.72,88,100,4.6,ZA,1701733578
5,grytviken,-54.2811,-54.2811,0.88,71,27,4.22,GS,1701733582
6,kupang,-10.1667,-10.1667,30.32,84,20,1.03,ID,1701733584
7,bacalar,18.6667,18.6667,28.06,78,75,4.12,MX,1701733324
8,columbia falls,48.3725,48.3725,2.85,86,100,1.54,US,1701733568
9,el alto,-4.2714,-4.2714,22.81,80,35,5.49,PE,1701733594
10,mitu,1.1983,1.1983,23.68,92,81,0.95,CO,1701733371
11,bilibino,68.0546,68.0546,-25.65,100,100,1.01,RU,1701733600
12,nova sintra,14.8667,14.8667,22.52,77,43,4.42,CV,1701733602
13,edinburgh of the seven seas,-37.0676,-37.0676,16.36,95,97,10.57,SH,1701733605
14,ushuaia,-54.8,-54.8,12.81,58,75,4.63,AR,1701733611
15,avarua,-21.2078,-21.2078,27.03,78,75,6.17,CK,1701733421
16,bayanhongor,46.7167,46.7167,-18.81,77,3,1.85,MN,1701733617
17,blackmans bay,-43.0167,-43.0167,21.4,61,95,1.79,AU,1701733620
18,albany,42.6001,42.6001,4.82,88,100,0.89,US,1701733623
19,thinadhoo,0.5333,0.5333,28.13,70,76,3.72,MV,1701733625
20,port elizabeth,-33.918,-33.918,17.16,81,0,4.63,ZA,1701733628
21,hawaiian paradise park,19.5933,19.5933,27.73,80,0,4.12,US,1701733631
22,waitangi,-43.9535,-43.9535,13.79,64,74,0.89,NZ,1701733613
23,yellowknife,62.456,62.456,-12.71,85,100,1.54,CA,1701733636
24,port-aux-francais,-49.35,-49.35,3.98,72,63,10.82,TF,1701733639
25,hammerfest,70.6634,70.6634,-5.75,73,0,1.54,NO,1701733642
26,tolanaro,-25.0319,-25.0319,23.04,78,20,7.72,MG,1701733645
27,vorkuta,67.5,67.5,-27.97,94,5,2.33,RU,1701733647
28,adamstown,-25.066,-25.066,22.89,76,91,5.21,PN,1701733649
29,byron bay,-28.65,-28.65,25.95,62,22,3.74,AU,1701733505
30,sitka,57.0531,57.0531,7.94,66,100,12.35,US,1701733653
31,tippi,7.2,7.2,17.39,92,14,1.56,ET,1701733654
32,olonkinbyen,70.9221,70.9221,-1.84,79,100,4.65,SJ,1701733655
33,shiguai,40.7058,40.7058,-3.45,50,1,2.59,CN,1701733656
34,invercargill,-46.4,-46.4,14.97,47,20,3.15,NZ,1701733657
35,freetown,8.484,8.484,27.84,83,40,2.06,SL,1701733659
36,howrah,22.5892,22.5892,23.0,83,75,1.54,IN,1701733660
37,bengkulu,-3.8004,-3.8004,24.44,90,100,1.75,ID,1701733661
38,carnarvon,-24.8667,-24.8667,26.47,57,24,8.88,AU,1701733663
39,talara,-4.5772,-4.5772,24.42,69,0,4.12,PE,1701733664
40,lethem,3.3803,3.3803,28.55,54,69,3.85,GY,1701733665
41,kodiak,57.79,57.79,1.73,93,100,7.72,US,1701733668
42,neiafu,-18.65,-18.65,30.38,66,40,5.66,TO,1701733671
43,badger,64.8,64.8,-22.07,80,40,0.0,US,1701733674
44,jonquiere,48.4165,48.4165,-7.01,73,100,2.06,CA,1701733560
45,kabansk,52.0486,52.0486,-8.55,69,94,5.41,RU,1701733679
46,longyearbyen,78.2186,78.2186,-3.09,68,75,9.26,SJ,1701733610
47,ribeira grande,38.5167,38.5167,17.65,80,89,6.71,PT,1701733686
48,cannonvale,-20.2833,-20.2833,28.66,66,26,6.21,AU,1701733689
49,chernyshevskiy,63.0128,63.0128,-40.91,99,65,1.89,RU,1701733692
50,talnakh,69.4865,69.4865,-27.85,85,99,1.51,RU,1701733696
51,klyuchi,52.2667,52.2667,-6.03,86,100,6.32,RU,1701733699
52,dwarka,22.2394,22.2394,23.39,49,2,9.62,IN,1701733702
53,aykhal,66.0,66.0,-39.37,100,99,2.56,RU,1701733706
54,chonchi,-42.6128,-42.6128,16.56,84,36,2.49,CL,1701733709
55,puerto natales,-51.7236,-51.7236,10.21,79,90,5.27,CL,1701733582
56,alta,69.9689,69.9689,-8.78,85,100,2.06,NO,1701733716
57,selfoss,63.9331,63.9331,-1.09,72,100,3.26,IS,1701733722
58,bethel,41.3712,41.3712,7.93,71,0,2.06,US,1701733548
59,igarka,67.4667,67.4667,-41.23,100,52,1.01,RU,1701733729
60,burang,30.25,30.25,-15.38,89,50,1.96,CN,1701733732
61,constantia,44.1833,44.1833,0.39,64,10,2.96,RO,1701733567
62,tura,25.5198,25.5198,18.54,67,96,1.29,IN,1701733741
63,ujae,8.9322,8.9322,28.17,78,96,10.01,MH,1701733744
64,tadine,-21.55,-21.55,26.98,59,95,3.23,NC,1701733748
65,zhanaozen,43.3,43.3,8.26,96,72,3.2,KZ,1701733757
66,porto de moz,-1.7483,-1.7483,23.95,93,97,2.11,BR,1701733762
67,west island,-12.1568,-12.1568,25.99,78,40,4.63,CC,1701733768
68,nadvoitsy,63.8667,63.8667,-19.56,99,96,1.19,RU,1701733775
69,nouadhibou,20.931,20.931,18.99,88,97,5.66,MR,1701733685
70,college,64.8569,64.8569,-22.03,76,40,0.0,US,1701733633
71,tumayr,25.7039,25.7039,15.75,35,1,1.87,SA,1701733784
72,ketchikan,55.3422,55.3422,9.99,93,100,6.17,US,1701733788
73,antofagasta,-23.65,-23.65,18.6,81,11,3.1,CL,1701733791
74,sovetskaya gavan',48.9723,48.9723,-6.05,86,43,5.05,RU,1701733793
75,muisne,0.6,0.6,25.6,85,90,3.55,EC,1701733799
76,coquimbo,-29.9533,-29.9533,15.85,77,40,4.63,CL,1701733802
77,whitehorse,60.7161,60.7161,-7.57,85,100,1.03,CA,1701733555
78,dakhla,23.6848,23.6848,19.55,83,100,6.69,EH,1701733725
79,thompson,55.7435,55.7435,-5.91,93,100,2.57,CA,1701733619
80,boguchany,58.3814,58.3814,-22.3,91,100,5.3,RU,1701733742
81,sovetskiy,61.3614,61.3614,-17.94,96,100,4.86,RU,1701733816
82,nguigmi,14.2495,14.2495,23.82,22,81,5.23,NE,1701733818
83,polyarnyy,69.1989,69.1989,-10.49,93,83,2.41,RU,1701733690
84,machico,32.7,32.7,22.23,91,75,11.32,PT,1701733825
85,puruaran,19.1,19.1,19.53,83,100,1.17,MX,1701733827
86,piti village,13.4626,13.4626,27.49,86,100,6.69,GU,1701733829
87,brookings,44.3114,44.3114,2.25,79,97,1.62,US,1701733796
88,utrik,11.2278,11.2278,27.44,79,60,8.91,MH,1701733616
89,enewetak,11.3474,11.3474,27.72,74,98,9.51,MH,1701733835
90,greymouth,-42.4667,-42.4667,16.59,69,81,2.73,NZ,1701733838
91,margaret river,-33.95,-33.95,17.15,62,100,2.56,AU,1701733839
92,isangel,-19.55,-19.55,28.73,69,88,3.21,VU,1701733842
93,udachny,66.4167,66.4167,-39.2,65,96,1.68,RU,1701733843
94,santo andre,-23.6639,-23.6639,22.09,93,100,4.12,BR,1701733845
95,kapa'a,22.0752,22.0752,27.18,78,20,7.2,US,1701733849
96,outjo,-20.1167,-20.1167,23.17,55,97,2.31,NA,1701733850
97,qujing,25.4833,25.4833,10.45,90,100,3.62,CN,1701733852
98,anna regina,7.2644,7.2644,25.21,86,7,3.6,GY,1701733855
99,wailua homesteads,22.0669,22.0669,26.44,78,20,7.2,US,1701733664
100,puerto ayora,-0.7393,-0.7393,24.19,92,84,2.24,EC,1701733860
101,tiksi,71.6872,71.6872,-25.91,98,100,3.67,RU,1701733726
102,hermanus,-34.4187,-34.4187,17.02,73,99,2.51,ZA,1701733627
103,bredasdorp,-34.5322,-34.5322,16.67,71,89,1.12,ZA,1701733874
104,bouarfa,32.53,32.53,9.4,52,80,3.47,MA,1701733878
105,vadso,70.0744,70.0744,-1.91,69,75,5.14,NO,1701733883
106,abra pampa,-22.7205,-22.7205,11.85,69,92,6.14,AR,1701733892
107,tomatlan,19.9333,19.9333,23.93,71,100,1.21,MX,1701733745
108,georgetown,5.4112,5.4112,27.75,89,20,2.06,MY,1701733635
109,potosi,-19.5836,-19.5836,9.32,73,99,2.99,BO,1701733934
110,buckhannon,38.994,38.994,7.09,75,100,2.57,US,1701733939
111,minas de marcona,-15.2119,-15.2119,15.62,80,100,5.73,PE,1701733943
112,youhao,47.8667,47.8667,-13.16,92,74,1.43,CN,1701733947
113,saipan,15.1355,15.1355,28.39,83,40,8.23,MP,1701733951
114,flekkefjord,58.2971,58.2971,0.53,92,31,2.72,NO,1701733954
115,puerto armuelles,8.2833,8.2833,28.99,68,64,1.34,PA,1701733958
116,bamboo flat,11.7,11.7,25.05,88,100,2.57,IN,1701733963
117,soko,-7.4832,-7.4832,25.83,78,83,1.09,ID,1701733967
118,levuka,50.1834,50.1834,-4.15,93,40,3.6,CA,1701733971
119,aripuana,-9.1667,-9.1667,23.92,82,98,0.99,BR,1701733974
120,isafjordur,66.0755,66.0755,3.02,56,0,2.57,IS,1701733978
121,holualoa,19.6228,19.6228,25.99,75,40,5.14,US,1701733981
122,port lincoln,-34.7333,-34.7333,21.83,59,100,3.04,AU,1701733988
123,tazacorte,28.629,28.629,19.54,97,75,1.54,ES,1701733992
124,crane,31.3974,31.3974,15.06,28,0,4.05,US,1701733997
125,huarmey,-10.0681,-10.0681,21.22,79,96,4.59,PE,1701734001
126,peymeinade,43.6333,43.6333,7.6,93,75,1.03,FR,1701733781
127,port alfred,-33.5906,-33.5906,15.66,90,36,1.34,ZA,1701734007
128,palmer,42.1584,42.1584,7.65,83,75,0.0,US,1701733780
129,cockburn town,21.4612,21.4612,26.8,73,38,5.86,TC,1701733900
130,tofol,5.3248,5.3248,28.88,84,75,5.14,FM,1701734020
131,kapuskasing,49.4169,49.4169,-7.0,68,75,2.57,CA,1701734023
132,pemangkat,1.1667,1.1667,24.69,92,100,2.29,ID,1701734027
133,kutoarjo,-7.7169,-7.7169,26.37,85,99,1.54,ID,1701734034
134,papatowai,-46.5619,-46.5619,15.38,55,6,4.78,NZ,1701734041
135,port mathurin,-19.6833,-19.6833,25.91,81,33,5.6,MU,1701734048
136,acapulco de juarez,16.8634,16.8634,26.93,79,98,3.63,MX,1701734056
137,dawson creek,55.7666,55.7666,3.8,60,0,3.09,CA,1701734061
138,cabo san lucas,22.8909,22.8909,28.61,41,0,5.14,MX,1701733227
139,ust-nera,64.5667,64.5667,-46.75,98,79,2.25,RU,1701734077
140,khandyga,62.6667,62.6667,-50.94,100,56,0.14,RU,1701734093
141,westonaria,-26.3191,-26.3191,22.27,28,32,2.6,ZA,1701734106
142,tarauaca,-8.1614,-8.1614,23.13,98,100,1.2,BR,1701734119
143,okhotsk,59.3833,59.3833,-33.64,83,27,5.33,RU,1701734130
144,wilmore,37.862,37.862,5.72,91,79,2.27,US,1701734137
145,berwick-upon-tweed,55.7833,55.7833,6.67,90,100,12.17,GB,1701734143
146,ugoofaaru,5.6667,5.6667,28.7,74,80,6.69,MV,1701734151
147,callaway,30.153,30.153,17.19,81,100,1.34,US,1701734158
148,novodvinsk,64.4165,64.4165,-15.12,97,99,1.03,RU,1701734165
149,renqiu,38.6989,38.6989,1.56,41,1,1.06,CN,1701734169
150,lihue,21.9789,21.9789,26.77,71,20,7.2,US,1701734173
151,ko pha ngan,9.7578,9.7578,24.38,81,97,3.23,TH,1701734178
152,hobyo,5.3505,5.3505,25.78,69,55,9.87,SO,1701734186
153,pangody,65.85,65.85,-38.2,100,20,2.04,RU,1701734193
154,fort bragg,35.139,35.139,12.75,63,0,0.0,US,1701734198
155,haripur,34.0,34.0,9.86,28,0,3.09,PK,1701734207
156,fada,9.5667,9.5667,20.95,24,15,2.04,NG,1701734213
157,cole harbour,44.6724,44.6724,0.55,93,100,4.02,CA,1701734231
158,reggane,26.7158,26.7158,15.97,21,3,3.47,DZ,1701734237
159,goure,13.9835,13.9835,21.55,16,98,3.67,NE,1701734246
160,turkmenbasy,40.0222,40.0222,11.43,93,100,2.06,TM,1701734254
161,atar,20.5169,20.5169,22.49,28,26,1.9,MR,1701734260
162,roma,43.2128,43.2128,2.27,91,100,4.12,US,1701734264
163,kingston,17.997,17.997,29.53,76,40,7.2,JM,1701733983
164,kununurra,-15.7667,-15.7667,30.99,62,22,0.51,AU,1701733976
165,nakhon thai,17.1006,17.1006,21.92,89,93,1.21,TH,1701734279
166,iqaluit,63.7506,63.7506,-8.15,86,75,1.54,CA,1701734286
167,flying fish cove,-10.4217,-10.4217,25.82,83,100,5.66,CX,1701734302
168,morant bay,17.8815,17.8815,29.79,82,6,4.4,JM,1701734311
169,piacabucu,-10.4056,-10.4056,26.24,85,94,5.25,BR,1701734316
170,tiruchchendur,8.4833,8.4833,26.58,86,100,5.2,IN,1701734322
171,juegang,32.3174,32.3174,8.5,49,0,2.71,CN,1701734331
172,mopti,14.6667,14.6667,24.3,13,13,3.99,ML,1701734340
173,alice springs,-23.7,-23.7,33.75,17,0,3.6,AU,1701734077
174,island harbour,50.724,50.724,6.79,94,100,2.24,GB,1701734352
175,harper,4.375,4.375,26.46,86,4,3.05,LR,1701734358
176,dryden,49.7833,49.7833,-0.84,80,100,0.0,CA,1701734364
177,palikir - national government center,6.9248,6.9248,25.41,100,100,2.06,FM,1701734370
178,banda aceh,5.5577,5.5577,26.01,86,100,1.78,ID,1701734376
179,northam,51.0333,51.0333,10.37,89,99,12.55,GB,1701734382
180,saint-pierre,-21.3393,-21.3393,22.82,64,100,1.54,RE,1701734387
181,faya-largeau,17.9257,17.9257,22.42,14,9,5.32,TD,1701734393
182,ilulissat,69.2167,69.2167,-15.49,92,88,2.32,GL,1701734400
183,mccook,40.2019,40.2019,7.25,72,83,4.63,US,1701734407
184,mar del plata,-38.0023,-38.0023,15.53,66,0,8.94,AR,1701734400
185,campo ramon,-27.4611,-27.4611,19.85,90,96,3.04,AR,1701734423
186,anastacio,-20.4836,-20.4836,23.55,95,100,1.26,BR,1701734441
187,qamdo,31.1667,31.1667,-6.17,93,100,1.69,CN,1701734448
188,benghazi,32.1167,32.1167,18.49,72,17,8.17,LY,1701734226
189,happy valley-goose bay,53.3168,53.3168,-12.83,78,20,3.09,CA,1701734459
